"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 09 08:18:10 GMT 2024","Tue Jul 09 08:18:13 GMT 2024","3410","","com.example.UsersTest","","com.example.UsersTest","verifyGetUsers","verifyGetUsers()",""
"passed","Tue Jul 09 08:18:05 GMT 2024","Tue Jul 09 08:18:10 GMT 2024","4969","","com.example.GoogleTest","","com.example.GoogleTest","verifySearchResultIsDisplayed","verifySearchResultIsDisplayed()",""
